id_atendente,tempo_de_casa_meses,volume_chamados_dia,escala_turno,dias_falta_mes,status
ATEND_0182,37,60,Manhã,4,Ativo
ATEND_0183,23,36,Tarde,2,Desligado
ATEND_0184,39,41,Tarde,3,Ativo
ATEND_0185,45,47,Manhã,3,Ativo
ATEND_0186,15,65,Noite,0,Desligado
ATEND_0187,43,46,Tarde,0,Ativo
ATEND_0188,29,60,Manhã,2,Ativo
ATEND_0189,36,46,Manhã,3,Ativo
ATEND_0190,13,56,Noite,1,Ativo
ATEND_0191,32,55,Manhã,0,Ativo
ATEND_0192,7,46,Madrugada,3,Desligado
ATEND_0193,59,34,Tarde,1,Ativo
ATEND_0194,51,42,Tarde,1,Ativo
ATEND_0195,22,59,Tarde,0,Desligado
ATEND_0196,28,53,Noite,2,Ativo
ATEND_0197,2,40,Tarde,2,Ativo
ATEND_0198,42,41,Noite,2,Ativo
ATEND_0199,45,27,Tarde,0,Ativo
ATEND_0200,57,59,Manhã,1,Ativo
ATEND_0201,53,53,Madrugada,1,Ativo
ATEND_0202,6,43,Noite,1,Ativo
ATEND_0203,28,47,Noite,1,Desligado
ATEND_0204,28,23,Madrugada,2,Ativo
ATEND_0205,44,40,Madrugada,0,Ativo
ATEND_0206,44,58,Noite,1,Ativo
ATEND_0207,20,54,Noite,2,Ativo
ATEND_0208,30,48,Noite,3,Ativo
ATEND_0209,11,44,Noite,1,Ativo
ATEND_0210,58,52,Tarde,0,Desligado
ATEND_0211,55,42,Noite,1,Ativo
ATEND_0212,28,28,Manhã,1,Ativo
ATEND_0213,25,44,Madrugada,1,Ativo
ATEND_0214,39,49,Madrugada,1,Ativo
ATEND_0215,33,56,Manhã,2,Ativo
ATEND_0216,1,30,Noite,3,Ativo
ATEND_0217,57,43,Manhã,2,Ativo
ATEND_0218,27,44,Tarde,0,Ativo
ATEND_0219,57,33,Noite,1,Desligado
ATEND_0220,52,49,Manhã,2,Desligado
ATEND_0221,13,52,Noite,1,Desligado
ATEND_0222,41,42,Noite,1,Desligado
ATEND_0223,3,65,Tarde,0,Ativo
ATEND_0224,39,41,Manhã,0,Desligado
ATEND_0225,6,40,Manhã,4,Ativo
ATEND_0226,8,40,Tarde,1,Desligado
ATEND_0227,27,36,Madrugada,1,Desligado
ATEND_0228,9,39,Tarde,2,Ativo
ATEND_0229,37,30,Manhã,2,Desligado
ATEND_0230,33,43,Tarde,1,Ativo
ATEND_0231,51,45,Tarde,0,Ativo
ATEND_0232,42,22,Noite,0,Ativo
ATEND_0233,44,43,Manhã,1,Ativo
ATEND_0234,24,45,Noite,1,Ativo
ATEND_0235,15,50,Tarde,1,Ativo
ATEND_0236,59,57,Madrugada,3,Desligado
ATEND_0237,54,53,Tarde,2,Ativo
ATEND_0238,32,38,Tarde,0,Desligado
ATEND_0239,32,37,Madrugada,0,Desligado
ATEND_0240,24,50,Manhã,2,Desligado
ATEND_0241,41,39,Madrugada,2,Desligado
ATEND_0242,52,32,Noite,1,Ativo
ATEND_0243,49,68,Manhã,3,Desligado
ATEND_0244,49,41,Tarde,0,Desligado
ATEND_0245,58,38,Noite,0,Ativo
ATEND_0246,52,23,Manhã,0,Ativo
ATEND_0247,12,53,Tarde,0,Ativo
ATEND_0248,39,35,Tarde,1,Ativo
ATEND_0249,2,45,Tarde,0,Ativo
ATEND_0250,3,54,Manhã,2,Ativo
ATEND_0251,49,35,Madrugada,0,Ativo
ATEND_0252,37,45,Madrugada,1,Ativo
ATEND_0253,49,60,Madrugada,0,Desligado
ATEND_0254,56,20,Noite,1,Ativo
ATEND_0255,17,36,Manhã,1,Ativo
ATEND_0256,59,35,Noite,2,Ativo
ATEND_0257,49,43,Manhã,4,Ativo
ATEND_0258,2,44,Manhã,1,Desligado
ATEND_0259,2,34,Tarde,2,Ativo
ATEND_0260,28,38,Tarde,1,Ativo
ATEND_0261,54,37,Noite,1,Ativo
ATEND_0262,23,41,Noite,2,Ativo
ATEND_0263,37,47,Tarde,0,Desligado
ATEND_0264,32,54,Manhã,0,Ativo
ATEND_0265,33,55,Madrugada,0,Ativo
ATEND_0266,1,51,Tarde,0,Ativo
ATEND_0267,19,36,Tarde,2,Ativo
ATEND_0268,2,44,Manhã,0,Ativo
ATEND_0269,53,68,Noite,2,Ativo
ATEND_0270,44,55,Noite,2,Ativo
ATEND_0271,26,40,Manhã,1,Ativo
ATEND_0272,32,60,Manhã,0,Ativo
ATEND_0273,6,41,Noite,3,Desligado
ATEND_0274,32,38,Noite,1,Desligado
ATEND_0275,55,58,Manhã,1,Ativo
ATEND_0276,4,31,Madrugada,2,Desligado
ATEND_0277,55,25,Manhã,0,Ativo
ATEND_0278,11,54,Tarde,1,Ativo
ATEND_0279,56,45,Madrugada,0,Desligado
ATEND_0280,59,46,Tarde,0,Desligado
ATEND_0281,17,41,Tarde,1,Desligado
ATEND_0282,38,42,Tarde,1,Ativo
ATEND_0283,24,40,Manhã,3,Ativo
ATEND_0284,5,38,Madrugada,3,Desligado
ATEND_0285,52,41,Tarde,0,Ativo
ATEND_0286,34,40,Madrugada,2,Ativo
ATEND_0287,6,36,Manhã,1,Ativo
ATEND_0288,22,39,Manhã,2,Ativo
ATEND_0289,11,19,Manhã,2,Ativo
ATEND_0290,48,51,Noite,1,Ativo
ATEND_0291,16,48,Tarde,2,Desligado
ATEND_0292,33,44,Madrugada,2,Ativo
ATEND_0293,9,47,Tarde,1,Ativo
ATEND_0294,59,47,Madrugada,2,Ativo
ATEND_0295,6,37,Manhã,2,Ativo
ATEND_0296,16,39,Madrugada,1,Ativo
ATEND_0297,29,50,Noite,0,Ativo
ATEND_0298,3,47,Noite,0,Desligado
ATEND_0299,20,65,Noite,2,Ativo
ATEND_0300,59,61,Noite,1,Desligado
ATEND_0301,36,54,Tarde,0,Ativo
ATEND_0302,19,37,Manhã,4,Ativo
ATEND_0303,26,39,Manhã,3,Ativo
ATEND_0304,3,34,Madrugada,2,Ativo
ATEND_0305,19,47,Tarde,0,Desligado
ATEND_0306,20,17,Noite,1,Ativo
ATEND_0307,32,40,Tarde,2,Ativo
ATEND_0308,7,41,Manhã,1,Desligado
ATEND_0309,52,29,Manhã,3,Desligado
ATEND_0310,41,52,Noite,1,Desligado
ATEND_0311,33,33,Tarde,2,Ativo
ATEND_0312,40,47,Manhã,2,Desligado
ATEND_0313,39,72,Tarde,0,Ativo
ATEND_0314,18,28,Manhã,2,Ativo
ATEND_0315,40,43,Tarde,0,Ativo
ATEND_0316,1,40,Manhã,0,Ativo
ATEND_0317,11,38,Noite,1,Ativo
ATEND_0318,28,52,Tarde,3,Ativo
ATEND_0319,57,56,Tarde,3,Desligado
ATEND_0320,25,52,Manhã,0,Ativo
ATEND_0321,50,37,Manhã,1,Ativo
ATEND_0322,23,69,Tarde,1,Ativo
ATEND_0323,31,27,Tarde,0,Desligado
ATEND_0324,30,34,Tarde,1,Ativo
ATEND_0325,42,46,Manhã,1,Ativo
ATEND_0326,35,45,Noite,2,Desligado
ATEND_0327,7,49,Madrugada,1,Desligado
ATEND_0328,16,60,Noite,0,Ativo
ATEND_0329,26,43,Manhã,1,Ativo
ATEND_0330,48,46,Tarde,5,Desligado
ATEND_0331,57,39,Manhã,3,Ativo
ATEND_0332,52,50,Manhã,1,Ativo
ATEND_0333,49,41,Madrugada,2,Desligado
ATEND_0334,2,41,Manhã,1,Ativo
ATEND_0335,1,50,Tarde,1,Ativo
ATEND_0336,48,55,Tarde,2,Ativo
ATEND_0337,12,22,Noite,1,Ativo
ATEND_0338,5,48,Tarde,3,Ativo
ATEND_0339,37,42,Manhã,2,Desligado
ATEND_0340,32,54,Tarde,1,Ativo
ATEND_0341,59,42,Tarde,1,Ativo
ATEND_0342,55,58,Manhã,2,Ativo
ATEND_0343,9,38,Tarde,0,Ativo
ATEND_0344,41,22,Manhã,0,Desligado
ATEND_0345,35,55,Manhã,1,Ativo
ATEND_0346,19,36,Tarde,1,Ativo
ATEND_0347,48,29,Manhã,0,Ativo
ATEND_0348,16,45,Tarde,1,Ativo
ATEND_0349,3,42,Noite,4,Ativo
ATEND_0350,20,53,Noite,0,Ativo
ATEND_0351,24,53,Manhã,0,Desligado
ATEND_0352,54,45,Manhã,0,Ativo
ATEND_0353,56,36,Manhã,1,Ativo
ATEND_0354,33,47,Tarde,3,Ativo
ATEND_0355,24,46,Noite,0,Desligado
ATEND_0356,52,50,Manhã,2,Ativo
ATEND_0357,11,36,Madrugada,0,Ativo
ATEND_0358,49,40,Manhã,4,Ativo
ATEND_0359,8,50,Tarde,1,Ativo
ATEND_0360,36,57,Noite,1,Desligado
ATEND_0361,38,54,Madrugada,3,Ativo
ATEND_0362,40,45,Noite,2,Ativo
ATEND_0363,20,40,Noite,1,Desligado
ATEND_0364,35,49,Tarde,1,Desligado
ATEND_0365,48,34,Noite,1,Desligado
ATEND_0366,25,36,Manhã,3,Desligado
ATEND_0367,35,60,Madrugada,2,Ativo
ATEND_0368,25,49,Tarde,0,Ativo
ATEND_0369,29,41,Noite,1,Ativo
ATEND_0370,18,53,Tarde,0,Ativo
ATEND_0371,46,57,Tarde,0,Ativo
ATEND_0372,18,40,Tarde,0,Ativo
ATEND_0373,2,40,Noite,2,Ativo
ATEND_0374,54,39,Manhã,0,Desligado
ATEND_0375,35,54,Manhã,1,Ativo
ATEND_0376,16,54,Manhã,0,Desligado
ATEND_0377,41,58,Manhã,1,Ativo
ATEND_0378,36,55,Madrugada,0,Ativo
ATEND_0379,33,28,Manhã,0,Ativo
ATEND_0380,4,47,Madrugada,0,Ativo
ATEND_0381,33,34,Tarde,0,Ativo
ATEND_0382,14,39,Manhã,1,Desligado
ATEND_0383,21,46,Noite,1,Ativo
ATEND_0384,48,53,Noite,0,Ativo
ATEND_0385,20,36,Tarde,2,Ativo
ATEND_0386,56,21,Tarde,1,Ativo
ATEND_0387,8,46,Noite,1,Desligado
ATEND_0388,7,71,Manhã,3,Desligado
ATEND_0389,3,42,Madrugada,0,Ativo
ATEND_0390,17,45,Madrugada,0,Ativo
ATEND_0391,33,62,Noite,1,Ativo
ATEND_0392,48,50,Manhã,2,Desligado
ATEND_0393,12,47,Noite,1,Ativo
ATEND_0394,59,49,Manhã,3,Ativo
ATEND_0395,51,47,Manhã,1,Desligado
ATEND_0396,22,33,Manhã,0,Ativo
ATEND_0397,55,31,Tarde,0,Desligado
ATEND_0398,22,63,Madrugada,2,Ativo
ATEND_0399,46,46,Noite,1,Ativo
ATEND_0400,30,46,Noite,1,Ativo
ATEND_0401,38,44,Tarde,2,Desligado
ATEND_0402,38,52,Tarde,0,Desligado
ATEND_0403,45,70,Tarde,2,Ativo
ATEND_0404,51,50,Madrugada,1,Ativo
ATEND_0405,54,39,Manhã,1,Ativo
ATEND_0406,8,43,Madrugada,4,Desligado
ATEND_0407,27,55,Tarde,0,Ativo
ATEND_0408,27,39,Tarde,1,Ativo
ATEND_0409,34,53,Noite,1,Ativo
ATEND_0410,21,21,Tarde,0,Desligado
ATEND_0411,30,42,Madrugada,1,Ativo
ATEND_0412,33,51,Madrugada,1,Ativo
ATEND_0413,28,57,Tarde,0,Ativo
ATEND_0414,47,36,Manhã,0,Desligado
ATEND_0415,33,29,Tarde,1,Ativo
ATEND_0416,5,42,Madrugada,3,Ativo
ATEND_0417,48,33,Manhã,1,Desligado
ATEND_0418,19,43,Tarde,0,Ativo
ATEND_0419,4,44,Tarde,1,Ativo
ATEND_0420,35,31,Noite,2,Ativo
ATEND_0421,49,53,Manhã,3,Desligado
ATEND_0422,17,43,Noite,1,Ativo
ATEND_0423,44,55,Madrugada,2,Desligado
ATEND_0424,28,26,Manhã,1,Ativo
ATEND_0425,30,34,Manhã,1,Ativo
ATEND_0426,29,50,Madrugada,2,Ativo
ATEND_0427,46,37,Manhã,0,Desligado
ATEND_0428,53,43,Madrugada,2,Ativo
ATEND_0429,6,45,Tarde,0,Desligado
ATEND_0430,35,46,Manhã,1,Ativo
ATEND_0431,41,38,Madrugada,2,Ativo
ATEND_0432,37,46,Tarde,0,Ativo
ATEND_0433,24,37,Tarde,3,Desligado
ATEND_0434,29,51,Tarde,1,Ativo
ATEND_0435,49,43,Tarde,2,Ativo
ATEND_0436,46,46,Manhã,0,Ativo
ATEND_0437,53,70,Tarde,0,Desligado
ATEND_0438,31,33,Madrugada,1,Ativo
ATEND_0439,35,58,Manhã,0,Desligado
ATEND_0440,33,18,Noite,2,Ativo
ATEND_0441,52,24,Tarde,1,Ativo
ATEND_0442,21,32,Noite,1,Ativo
ATEND_0443,32,33,Manhã,4,Desligado
ATEND_0444,23,47,Madrugada,2,Desligado
ATEND_0445,33,47,Tarde,1,Ativo
ATEND_0446,3,42,Manhã,0,Ativo
ATEND_0447,18,43,Manhã,1,Ativo
ATEND_0448,25,50,Manhã,2,Ativo
ATEND_0449,42,53,Tarde,1,Ativo
ATEND_0450,31,31,Tarde,0,Ativo
ATEND_0451,54,41,Noite,0,Ativo
ATEND_0452,58,44,Tarde,1,Ativo
ATEND_0453,3,49,Manhã,2,Ativo
ATEND_0454,40,37,Tarde,1,Ativo
ATEND_0455,46,44,Noite,1,Ativo
ATEND_0456,24,45,Manhã,1,Ativo
ATEND_0457,50,37,Manhã,4,Desligado
ATEND_0458,32,37,Manhã,0,Ativo
ATEND_0459,47,45,Noite,1,Ativo
ATEND_0460,22,43,Noite,1,Ativo
ATEND_0461,23,50,Tarde,0,Ativo
ATEND_0462,2,34,Noite,4,Ativo
ATEND_0463,27,41,Noite,0,Ativo
ATEND_0464,42,42,Tarde,1,Desligado
ATEND_0465,2,53,Madrugada,1,Ativo
ATEND_0466,26,35,Manhã,2,Ativo
ATEND_0467,17,47,Manhã,2,Ativo
ATEND_0468,40,47,Manhã,2,Ativo
ATEND_0469,33,61,Manhã,0,Ativo
ATEND_0470,9,34,Tarde,0,Desligado
ATEND_0471,43,38,Madrugada,1,Ativo
ATEND_0472,54,35,Manhã,1,Ativo
ATEND_0473,48,28,Manhã,3,Ativo
ATEND_0474,39,62,Tarde,4,Ativo
ATEND_0475,29,32,Madrugada,0,Desligado
ATEND_0476,42,36,Tarde,3,Ativo
ATEND_0477,55,58,Tarde,0,Ativo
ATEND_0478,26,27,Manhã,2,Ativo
ATEND_0479,35,52,Manhã,2,Desligado
ATEND_0480,50,30,Madrugada,2,Ativo
ATEND_0481,25,57,Madrugada,1,Ativo
ATEND_0482,24,23,Manhã,0,Ativo
ATEND_0483,13,27,Madrugada,1,Ativo
ATEND_0484,58,39,Tarde,0,Ativo
ATEND_0485,7,54,Madrugada,0,Ativo
ATEND_0486,57,44,Tarde,1,Ativo
ATEND_0487,36,41,Tarde,3,Ativo
ATEND_0488,45,58,Tarde,0,Ativo
ATEND_0489,20,66,Noite,3,Ativo
ATEND_0490,1,51,Manhã,3,Ativo
ATEND_0491,8,38,Manhã,2,Ativo
ATEND_0492,46,40,Tarde,1,Ativo
ATEND_0493,16,32,Noite,1,Desligado
ATEND_0494,14,46,Manhã,0,Ativo
ATEND_0495,12,28,Noite,1,Ativo
ATEND_0496,51,50,Madrugada,2,Ativo
ATEND_0497,23,65,Manhã,2,Desligado
ATEND_0498,15,52,Noite,0,Ativo
ATEND_0499,28,40,Tarde,2,Ativo
ATEND_0500,34,50,Madrugada,0,Ativo
ATEND_0006,8,48,Tarde,1,Desligado
ATEND_0019,3,45,Tarde,0,Desligado
ATEND_0103,45,52,Manhã,1,Ativo
